activation_name,node_type,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes
convolution,activation,2336,2338,4926,4926,205520896,0.8627149128392356,0.200704,205520896
getitem_1,activation,2340,-1,4926,4926,256,0.0,1e-06,256
getitem_2,activation,2341,-1,4926,4926,256,0.0,1e-06,256
getitem_3,activation,2342,-1,4926,4926,0,0.0,1e-06,0
relu_,activation,2343,2344,4924,4925,205520896,0.8549243848416971,0.200704,205520896
getitem_4,activation,2345,2370,4897,4920,51380224,0.8273446406237794,0.050176,51380224
getitem_5,activation,2346,-1,4924,4924,102760448,0.0,0.100352,102760448
convolution_1,activation,2347,2349,4916,4916,51380224,0.8515195209030078,0.050176,51380224
getitem_7,activation,2351,-1,4916,4916,256,0.0,1e-06,256
getitem_8,activation,2352,-1,4916,4916,256,0.0,1e-06,256
getitem_9,activation,2353,-1,4916,4916,0,0.0,1e-06,0
relu__1,activation,2354,2355,4912,4915,51380224,0.8435343048404915,0.050176,51380224
convolution_2,activation,2355,2357,4908,4908,51380224,0.8420615368057056,0.050176,51380224
getitem_11,activation,2359,-1,4908,4908,256,0.0,1e-06,256
getitem_12,activation,2360,-1,4908,4908,256,0.0,1e-06,256
getitem_13,activation,2361,-1,4908,4908,0,0.0,1e-06,0
relu__2,activation,2362,2363,4904,4907,51380224,0.8368703687228275,0.050176,51380224
convolution_3,activation,2363,2365,4900,4900,205520896,0.8320345606021596,0.200704,205520896
getitem_15,activation,2367,-1,4900,4900,1024,0.0,1e-06,1024
getitem_16,activation,2368,-1,4900,4900,1024,0.0,1e-06,1024
getitem_17,activation,2369,-1,4900,4900,0,0.0,1e-06,0
convolution_4,activation,2370,2372,4893,4893,205520896,0.8224483206607414,0.200704,205520896
getitem_19,activation,2374,-1,4893,4893,1024,0.0,1e-06,1024
getitem_20,activation,2375,-1,4893,4893,1024,0.0,1e-06,1024
getitem_21,activation,2376,-1,4893,4893,0,0.0,1e-06,0
relu__3,activation,2378,2402,4888,4892,205520896,0.7985014407560241,0.200704,205520896
convolution_5,activation,2379,2381,4884,4884,51380224,0.8110464968085302,0.050176,51380224
getitem_23,activation,2383,-1,4884,4884,256,0.0,1e-06,256
getitem_24,activation,2384,-1,4884,4884,256,0.0,1e-06,256
getitem_25,activation,2385,-1,4884,4884,0,0.0,1e-06,0
relu__4,activation,2386,2387,4880,4883,51380224,0.8028092167470616,0.050176,51380224
convolution_6,activation,2387,2389,4876,4876,51380224,0.8013448327686651,0.050176,51380224
getitem_27,activation,2391,-1,4876,4876,256,0.0,1e-06,256
getitem_28,activation,2392,-1,4876,4876,256,0.0,1e-06,256
getitem_29,activation,2393,-1,4876,4876,0,0.0,1e-06,0
relu__5,activation,2394,2395,4872,4875,51380224,0.7961212487760945,0.050176,51380224
convolution_7,activation,2395,2397,4868,4868,205520896,0.7911075848508641,0.200704,205520896
getitem_31,activation,2399,-1,4868,4868,1024,0.0,1e-06,1024
getitem_32,activation,2400,-1,4868,4868,1024,0.0,1e-06,1024
getitem_33,activation,2401,-1,4868,4868,0,0.0,1e-06,0
relu__6,activation,2403,2427,4863,4867,205520896,0.7682931847684097,0.200704,205520896
convolution_8,activation,2404,2406,4859,4859,51380224,0.7798427208848308,0.050176,51380224
getitem_35,activation,2408,-1,4859,4859,256,0.0,1e-06,256
getitem_36,activation,2409,-1,4859,4859,256,0.0,1e-06,256
getitem_37,activation,2410,-1,4859,4859,0,0.0,1e-06,0
relu__7,activation,2411,2412,4855,4858,51380224,0.7719517767727385,0.050176,51380224
convolution_9,activation,2412,2414,4851,4851,51380224,0.7705338247884075,0.050176,51380224
getitem_39,activation,2416,-1,4851,4851,256,0.0,1e-06,256
getitem_40,activation,2417,-1,4851,4851,256,0.0,1e-06,256
getitem_41,activation,2418,-1,4851,4851,0,0.0,1e-06,0
relu__8,activation,2419,2420,4847,4850,51380224,0.7656982727907605,0.050176,51380224
convolution_10,activation,2420,2422,4843,4843,205520896,0.7607424006499357,0.200704,205520896
getitem_43,activation,2424,-1,4843,4843,1024,0.0,1e-06,1024
getitem_44,activation,2425,-1,4843,4843,1024,0.0,1e-06,1024
getitem_45,activation,2426,-1,4843,4843,0,0.0,1e-06,0
relu__9,activation,2428,2452,4815,4842,205520896,0.7178248322885491,0.200704,205520896
